date,variety_id,variety_name,month,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,tech1,tech2,tech3,tech4,tech5,tech6,tech7,tech8,tech9,tech10,tech11,tech12,tech13,tech14,tech15,tech16,tech17,tech18,tech19,tech20,tech21,tech22,tech23,tech24
2025-06-25,16,PYPL,6,0.3500,0.5720,0.4200,0.5600,0.5200,0.5000,0.5500,0.4500,0.5800,0.4800,0.4200,0.5570,0.5000,0.4800,0.6591,0.8323,0.2807,0.5000,0.6424,0.3576,0.0926,0.5077,0.5381,0.4723,0.6636,0.3624,0.6854,0.1632,0.4604,0.4705,0.2667,0.7127,0.2873,0.8589,0.1411,0.6680,0.2561,0.5000
2025-06-25,17,RIOT,6,0.2520,0.4940,0.4200,0.5200,0.4200,0.3800,0.4800,0.5200,0.5800,0.5500,0.5040,0.6478,0.4000,0.5000,0.9302,0.9926,0.6580,0.5000,0.6670,0.3330,0.3102,0.5448,1.0000,0.4920,0.6691,0.2542,0.9642,0.1232,0.2750,0.2272,0.3854,0.7041,0.2959,0.8141,0.1859,0.5571,0.4352,0.5000
2025-06-25,18,SNAP,6,0.2380,0.5720,0.4200,0.5200,0.4000,0.3500,0.5500,0.3500,0.5800,0.3500,0.4410,0.2238,0.4000,0.3800,0.2033,0.2637,0.0188,0.0000,0.1802,0.8198,0.0854,0.4239,0.9055,0.3641,0.4093,0.2051,0.1650,0.2626,0.3176,0.3685,0.0848,0.2333,0.7667,0.3128,0.6872,0.2643,0.3725,0.5000
2025-06-25,19,SPCX,6,0.2660,0.5460,0.4200,0.5200,0.6500,0.6000,0.5000,0.5500,0.5800,0.5500,0.4200,0.6815,0.5500,0.5000,0.7018,0.8354,0.7164,0.5000,0.9667,0.0333,0.0367,0.6252,0.1973,0.5000,0.5905,0.5550,0.7327,0.2250,0.3229,0.2974,0.2658,0.9383,0.0617,0.9838,0.0162,0.2871,0.2488,0.5000
2025-06-25,20,TSLA,6,0.2380,0.5720,0.4200,0.5200,0.6800,0.5200,0.3500,0.5000,0.5800,0.5200,0.4410,0.5157,0.4500,0.5500,0.4591,0.8651,0.7342,0.5000,0.4854,0.5146,0.2245,0.4870,1.0000,0.3527,0.6700,0.5280,0.0320,0.2723,0.3447,0.1862,0.3334,0.5750,0.4250,0.7229,0.2771,0.7367,0.3458,0.5000
2025-06-25,21,WPM,6,0.2940,0.5980,0.4200,0.5400,0.5800,0.5200,0.5000,0.5200,0.5800,0.5500,0.4200,0.6253,0.5000,0.5000,0.4338,0.8004,0.9966,1.0000,0.4384,0.5616,0.0864,0.3864,0.5303,0.5329,0.3947,0.5794,0.8345,0.0641,0.2119,0.2278,0.2134,0.4282,0.5718,0.7028,0.2972,0.3099,0.4822,0.5000
2025-06-25,22,SPY,6,0.2660,0.5460,0.4200,0.5200,0.6500,0.6000,0.5000,0.5500,0.5800,0.5500,0.4200,0.6886,0.5500,0.5000,0.7117,0.8433,0.7394,0.5000,0.9738,0.0262,0.0382,0.6326,0.2003,0.5022,0.5941,0.5602,0.7411,0.2085,0.2480,0.3136,0.3083,0.9450,0.0550,0.9853,0.0147,0.2852,0.2381,0.5000
2025-06-25,23,DIA,6,0.2660,0.5460,0.4200,0.5200,0.6500,0.6000,0.5000,0.5500,0.5800,0.5500,0.4200,0.6328,0.5500,0.5000,0.6451,0.7417,0.5859,0.5000,0.8909,0.1091,0.0306,0.5952,0.2108,0.4914,0.5931,0.5214,0.6450,0.0793,0.3455,0.4420,0.3239,0.8696,0.1304,0.9658,0.0342,0.3183,0.2906,0.5000
2025-06-25,24,GDX,6,0.2940,0.5980,0.4200,0.5400,0.6500,0.6000,0.5000,0.5500,0.5800,0.5500,0.4200,0.6090,0.5500,0.5000,0.3780,0.7174,0.9901,1.0000,0.3867,0.6133,0.0880,0.4363,0.4950,0.5046,0.3557,0.5593,0.8194,0.0372,0.2303,0.1723,0.1958,0.4418,0.5582,0.7104,0.2896,0.3576,0.4661,0.5000
2025-06-25,25,IWM,6,0.2660,0.5460,0.4200,0.5200,0.6500,0.6000,0.5000,0.5500,0.5800,0.5500,0.4200,0.5882,0.5500,0.5000,0.6367,0.8037,0.4430,0.5000,0.6963,0.3037,0.0572,0.5801,0.2926,0.4535,0.5813,0.4433,0.6939,0.1863,0.2387,0.2961,0.3638,0.7456,0.2544,0.9040,0.0960,0.3307,0.2890,0.5000
2025-06-25,26,QQQ,6,0.2660,0.5460,0.4200,0.5200,0.6500,0.6000,0.5000,0.5500,0.5800,0.5500,0.4200,0.7916,0.5500,0.5000,0.7667,0.9085,0.8428,1.0000,1.0000,0.0000,0.0460,0.6229,0.2513,0.5102,0.6177,0.5875,0.7990,0.2430,0.3017,0.2387,0.2795,0.9327,0.0673,0.9814,0.0186,0.2988,0.2446,0.5000
2025-06-25,27,URA,6,0.3080,0.5720,0.4200,0.4800,0.6500,0.6000,0.5000,0.5500,0.5800,0.5500,0.3990,0.8387,0.5500,0.5000,0.9785,0.9997,0.9990,1.0000,0.7957,0.2043,0.2581,0.7034,0.7256,0.4150,0.5372,0.9417,0.9943,0.2884,0.0793,0.3010,0.3828,0.8123,0.1877,0.9150,0.0850,0.4697,0.4442,0.5000
2025-06-25,28,URNM,6,0.3080,0.5720,0.4200,0.4800,0.6500,0.6000,0.5000,0.5500,0.5400,0.5500,0.3990,0.7447,0.5500,0.5000,0.9617,0.9971,0.9437,0.5000,0.7958,0.2042,0.2180,0.6555,0.7350,0.4514,0.4806,0.9236,0.9822,0.2169,0.1709,0.1518,0.4349,0.8166,0.1834,0.9115,0.0885,0.4692,0.5408,0.5000
